N,W,alfa,b_0,d_f,porosity,m_p,G_0,sigma_y0,mu_s,error
1,19.41287655,0.592959032,0.001702024,2.269887448,0.882346539,400.3272837,37.19439148,0.783258091,0.331602174,0.020760917
2,19.41287655,0.592959032,0.001702024,2.269887448,0.882346539,400.3272837,37.19439148,0.783258091,0.331602174,0.020760917
3,19.03137411,0.595004664,0.001730456,2.271121857,0.883179473,400.5345514,37.11507514,0.784293114,0.332678065,0.020717547
4,19.03907558,0.595103622,0.001736269,2.271589047,0.883620432,401.870828,37.10468836,0.784686568,0.332562876,0.020711484
5,18.98720877,0.59586677,0.001728573,2.272741521,0.883670352,405.6486745,37.12426598,0.784819462,0.332827434,0.020705017
6,18.98720877,0.59586677,0.001728573,2.272741521,0.883670352,405.6486745,37.12426598,0.784819462,0.332827434,0.020705017
7,18.98720877,0.59586677,0.001728573,2.272741521,0.883670352,405.6486745,37.12426598,0.784819462,0.332827434,0.020705017
8,18.98806572,0.596051149,0.001725145,2.273448105,0.884037805,405.1378181,37.12692157,0.784711862,0.332971514,0.020701409
9,18.98806572,0.596051149,0.001725145,2.273448105,0.884037805,405.1378181,37.12692157,0.784711862,0.332971514,0.020701409
10,19.09007104,0.59716105,0.001701509,2.27290964,0.883268181,405.8129043,37.19712714,0.783277302,0.332477335,0.02069438
11,19.09007104,0.59716105,0.001701509,2.27290964,0.883268181,405.8129043,37.19712714,0.783277302,0.332477335,0.02069438
12,18.88773376,0.597729301,0.00167158,2.276707231,0.883885057,413.0071955,37.25450047,0.780575355,0.333320236,0.020686295
13,18.91889192,0.597994787,0.001667356,2.277366942,0.884025871,414.2436869,37.24675098,0.780716504,0.333513676,0.020683066
14,18.95283937,0.598161885,0.00166707,2.276593507,0.883749088,414.3098287,37.24913143,0.781021162,0.333217388,0.02067903
15,18.95651768,0.598521975,0.001665753,2.276365634,0.883629491,415.6924038,37.25736063,0.781330522,0.333011923,0.020678257
Mean,19.04867236,0.596163934,0.001705437,2.273363945,0.883493701,406.610702,37.17581235,0.783305075,0.332725901,0.020705609
Std.dev,0.15236113,0.001646094,2.53728E-05,0.002317761,0.000519886,5.083754359,0.055586724,0.00157048,0.000524514,2.43848E-05
