N,W,alfa,b_0,d_f,porosity,m_p,G_0,sigma_y0,phi_p,mu_s,error
4,0.00539394524634118,0.995341596780628,4.29149860529711e-05,2.36214405395139,1.00223862447938,287.826475469532,1089.27193643822,10.5818156036286,0.0461455140948957,0.0223868935479892,0.360639242564787
2,0.00530661949835221,0.970567378270209,3.97905337981381e-05,2.3682405356853,1.00427899014161,309.277299854609,1077.24062280766,10.5759772910746,0.0455987897758086,0.0224857179790757,0.361677356017864
1,0.00534190196071704,0.970223350433611,3.60192021422072e-05,2.38720895404605,1.01018629142554,364.835324908537,1080.94907409768,10.5468127280296,0.0456115253288802,0.0226165353047761,0.365442423768511
3,0.00529184553384998,0.961398760389495,4.13558136945401e-05,2.38074930980669,1.00909320664646,340.184516897545,1096.66660598784,10.6392332173914,0.0470620678626577,0.0225412915504844,0.365980035401651
5,0.00532433112565167,0.973188375596974,4.19484314337687e-05,2.37879472330059,1.00822563000714,351.561642872986,1085.23229790989,10.517371703228,0.0463318068135976,0.0228293952026475,0.366815573360895
6,0.00532217296476478,0.974807346036366,4.12091795540155e-05,2.37346214739442,1.00742695688032,329.933039707704,1098.06613966216,10.5036625147874,0.0455465444728037,0.0229623359512879,0.36495796702086
10,0.00535599562529332,0.987008337532877,4.38380688478772e-05,2.37210583025851,1.00601691708244,302.771347112173,1077.66990791543,10.6942970428234,0.0472324245876193,0.0224499136580375,0.363360774077675
8,0.00540115760167525,0.97068869779469,4.52401664893418e-05,2.35781956991733,1.00263780654827,313.597937263642,1095.38427193986,10.7448568422714,0.0451822928372788,0.0225488498024548,0.361986255076126
7,0.00546188660738278,0.955419518345695,3.58439430781127e-05,2.37779228799454,1.00632563546042,311.107527072101,1079.33022091358,10.785140980542,0.0454544077481282,0.0227403169851647,0.363120093281567
9,0.00534942663714499,0.983848797854915,3.85954636361356e-05,2.37613587575827,1.00388238278266,291.442478015992,1079.60265630831,10.6264783536701,0.0469442555388,0.0227876050874741,0.364805435290026
11,0.00534327922375089,0.957371024914373,3.76625103350075e-05,2.37726047809062,1.00754832363758,320.427040466988,1104.93037343955,10.4014776790932,0.0459583417743498,0.0225117506855341,0.363087419888632
12,0.00531436806621377,0.973889789617778,3.88183396656465e-05,2.37802736484106,1.00778479951153,311.657997991324,1089.39109928887,10.5633303113246,0.0461641453864944,0.0227825232132556,0.364057391789396
14,0.00536538797167374,0.971646735611799,4.07992922960302e-05,2.37172570674176,1.00544769637164,308.474593749614,1085.59564306757,10.5628347476504,0.0461678146042406,0.0228097210335606,0.363934949753544
13,0.00533339040685177,0.972028826773571,4.25782378903794e-05,2.3713395791226,1.00740173992991,330.817201918695,1080.31576287438,10.538231605905,0.0459773432515406,0.0224254406719432,0.363501610557046
15,0.005369903632366,0.971159524497312,4.1381119801256e-05,2.37823298074553,1.00844013758585,333.858631006799,1085.57123934821,10.5993752350303,0.0462294557360365,0.0228489777777632,0.365663019413411
